c1,c2,c3,place,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Families in the group (Number),Total,"Families, total",Esbjerg,58152,58608,58755,59050,59037,59291,59691,59796,59731,59920
Families in the group (Number),Total,"Families, total",Fanø,1703,1728,1741,1777,1788,1819,1828,1829,1816,1798
Families in the group (Number),Total,"Families, total",Fredericia,25421,25604,25735,26228,26401,26413,26550,26943,27232,27563
Families in the group (Number),Total,"Families, total",Haderslev,27755,27923,28081,28182,28307,28404,28425,28558,28376,28743
Families in the group (Number),Total,"Families, total",Kolding,44174,44678,45282,45601,46041,46217,46493,46753,47328,47704
Families in the group (Number),Total,"Families, total",Sønderborg,37232,37467,37621,37727,37877,38020,38084,38088,38216,38447
Families in the group (Number),Total,"Families, total",Tønder,18747,18756,18839,18916,18868,18871,18963,18862,18750,18888
Families in the group (Number),Total,"Families, total",Varde,23554,23846,24017,24068,24118,24144,24175,24296,24397,24613
Families in the group (Number),Total,"Families, total",Vejen,19827,20049,20127,20250,20361,20539,20694,20700,20815,21027
Families in the group (Number),Total,"Families, total",Vejle,53239,53920,54652,55360,55891,56386,57398,58510,59194,59832
Families in the group (Number),Total,"Families, total",Aabenraa,28908,29097,29287,29510,29517,29648,29724,29706,29752,29956
Families in the group (Number),Total,"Families, total",Favrskov,20821,20948,21152,21472,21563,21644,21803,22012,22165,22356
Families in the group (Number),Total,"Families, total",Hedensted,20937,21118,21375,21579,21740,21809,22031,22238,22584,22826
Families in the group (Number),Total,"Families, total",Horsens,42212,42898,43614,44010,44533,44925,45880,47214,48249,49059
Families in the group (Number),Total,"Families, total",Norddjurs,19643,19959,20032,20120,20066,19906,20017,20021,19975,20000
Families in the group (Number),Total,"Families, total",Odder,10411,10547,10627,10857,10913,11026,11169,11285,11422,11649
Families in the group (Number),Total,"Families, total",Randers,49079,49543,50110,50378,50434,50520,51040,51606,52156,52348
Families in the group (Number),Total,"Families, total",Samsø,2075,2080,2093,2106,2104,2094,2090,2149,2146,2131
Families in the group (Number),Total,"Families, total",Silkeborg,42563,42983,43433,43906,44545,45182,46095,46925,47671,48561
Families in the group (Number),Total,"Families, total",Skanderborg,25732,26044,26528,26925,27361,27654,27934,28313,28516,28766
Families in the group (Number),Total,"Families, total",Syddjurs,20221,20394,20572,20874,21155,21329,21541,21794,22011,22044
Families in the group (Number),Total,"Families, total",Aarhus,178197,180365,183355,186829,190326,193585,196330,199044,202131,205977
Families in the group (Number),Total,"Families, total",Herning,41758,42339,42835,43149,43322,43655,43993,44144,44352,44551
Families in the group (Number),Total,"Families, total",Holstebro,27865,27915,28272,28512,28698,28865,29044,29166,29223,29394
Families in the group (Number),Total,"Families, total",Ikast-Brande,18961,19081,19290,19511,19666,19788,20036,20343,20557,20885
Families in the group (Number),Total,"Families, total",Lemvig,9987,9968,9997,9993,9964,9911,9878,9777,9676,9792
Families in the group (Number),Total,"Families, total",Ringkøbing-Skjern,26788,26948,26995,27161,27232,27316,27305,27349,27343,27566
Families in the group (Number),Total,"Families, total",Skive,23077,23107,23189,23367,23380,23338,23366,23268,23142,23208
Families in the group (Number),Total,"Families, total",Struer,10539,10582,10602,10620,10669,10651,10623,10683,10671,10677
Families in the group (Number),Total,"Families, total",Viborg,45558,46096,46647,46973,47363,47528,47879,48168,48358,48802
Families in the group (Number),Total,"Families, total",Brønderslev,17125,17290,17395,17606,17619,17664,17666,17773,17842,17960
Families in the group (Number),Total,"Families, total",Frederikshavn,31045,31221,31426,31442,31552,31460,31357,31302,31238,31322
Families in the group (Number),Total,"Families, total",Hjørring,32373,32605,32907,32997,32790,32867,33019,32941,33024,33034
Families in the group (Number),Total,"Families, total",Jammerbugt,18363,18517,18640,18805,18843,18858,18930,18994,19044,19237
Families in the group (Number),Total,"Families, total",Læsø,1023,1035,1029,1039,1053,1055,1047,1066,1075,1063
Families in the group (Number),Total,"Families, total",Mariagerfjord,20595,20740,20793,20988,21137,21145,21207,21359,21315,21444
Families in the group (Number),Total,"Families, total",Morsø,10487,10357,10422,10420,10423,10384,10417,10442,10342,10327
Families in the group (Number),Total,"Families, total",Rebild,13049,13197,13296,13550,13593,13689,13930,13977,13989,14093
Families in the group (Number),Total,"Families, total",Thisted,21573,21604,21657,21731,21693,21757,21795,21790,21863,21871
Families in the group (Number),Total,"Families, total",Vesthimmerlands,18246,18312,18392,18530,18594,18560,18552,18475,18501,18567
Families in the group (Number),Total,"Families, total",Aalborg,111141,112469,113628,114806,116243,117592,119879,121234,121619,122416
Families in the group (Number),Total,"Couples, total",All Denmark,1338614,1348172,1359513,1367323,1372038,1376342,1380974,1383321,1383929,1388343
Families in the group (Number),Total,"Couples, total",Copenhagen,106559,109497,112115,114377,116561,118785,120371,120605,121741,123296
Families in the group (Number),Total,"Couples, total",Frederiksberg,20341,20666,20821,20822,20843,21046,21017,20906,20986,21123
Families in the group (Number),Total,"Couples, total",Dragør,3673,3691,3730,3723,3714,3782,3813,3836,3813,3794
Families in the group (Number),Total,"Couples, total",Tårnby,10076,10115,10079,10135,10056,9987,9919,9872,9865,10002
Families in the group (Number),Total,"Couples, total",Albertslund,6024,5994,6039,5988,5995,5957,5935,5903,5842,5905
Families in the group (Number),Total,"Couples, total",Ballerup,11216,11217,11235,11254,11288,11225,11339,11276,11241,11449
Families in the group (Number),Total,"Couples, total",Brøndby,8000,8074,8108,8034,7993,7885,7893,7938,8098,8385
Families in the group (Number),Total,"Couples, total",Gentofte,16391,16504,16596,16691,16672,16660,16706,16783,16739,16870
Families in the group (Number),Total,"Couples, total",Gladsaxe,14658,14818,14979,15142,15175,15119,15118,15017,15064,15165
Families in the group (Number),Total,"Couples, total",Glostrup,5078,5053,5092,5104,5098,5228,5282,5266,5227,5181
Families in the group (Number),Total,"Couples, total",Herlev,6410,6499,6482,6492,6519,6552,6488,6471,6434,6550
Families in the group (Number),Total,"Couples, total",Hvidovre,11855,11922,11915,11991,11989,12049,11985,11884,11768,11753
