c1,c2,c3,place,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Faaborg-Midtfyn,4425,4531,4593,4811,4929,4932,4948,5008,5050,5066
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Kerteminde,2123,2177,2207,2238,2281,2394,2447,2454,2455,2440
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Langeland,1438,1437,1555,1659,1722,1739,1796,1808,1877,1919
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Middelfart,3227,3260,3344,3367,3449,3516,3529,3417,3390,3357
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Nordfyns,2293,2417,2487,2555,2601,2694,2774,2811,2822,2803
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Nyborg,3277,3371,3423,3490,3451,3474,3560,3502,3474,3447
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Odense,19189,19745,19905,20391,20866,21065,21434,21807,22247,22106
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Svendborg,5755,5954,5974,6106,6113,6186,6250,6324,6368,6387
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Ærø,715,752,762,787,817,851,850,838,860,875
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Billund,1899,1974,1994,2089,2193,2266,2332,2349,2393,2379
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Esbjerg,10613,10850,10963,11227,11362,11549,11608,11717,11950,11874
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Fanø,309,325,318,329,325,336,320,326,328,330
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Fredericia,4853,5027,5083,5250,5300,5272,5250,5285,5290,5195
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Haderslev,5078,5245,5297,5517,5640,5798,5815,5880,5857,5847
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Kolding,7826,7992,8035,8166,8437,8411,8433,8381,8498,8182
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Sønderborg,6836,7046,7235,7480,7507,7737,7824,7856,7898,7857
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Tønder,3301,3367,3392,3573,3598,3769,3818,3774,3833,3900
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Varde,3674,3824,3941,4079,4151,4181,4277,4257,4307,4353
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Vejen,3029,3107,3184,3281,3416,3479,3670,3673,3764,3742
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Vejle,9685,9862,9936,10064,10053,9983,10108,10239,10258,10040
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Aabenraa,5136,5268,5401,5546,5594,5735,5812,5974,5976,5903
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Favrskov,2837,2909,2983,3100,3139,3202,3257,3195,3227,3184
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Hedensted,3002,3188,3220,3303,3366,3425,3531,3531,3523,3562
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Horsens,7397,7632,7729,7897,7991,8192,8433,8676,8953,8888
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Norddjurs,3453,3620,3739,3922,4106,4105,4238,4299,4326,4329
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Odder,1758,1763,1854,1842,1928,1870,1937,1917,1955,1921
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Randers,9377,9634,9726,9877,10087,10271,10541,10608,10601,10576
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Samsø,421,459,423,449,478,498,507,528,547,521
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Silkeborg,7138,7248,7453,7802,7845,7993,8187,8147,8241,8322
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Skanderborg,3737,3650,3783,3830,3850,3917,3996,3924,3946,3879
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Syddjurs,3260,3366,3437,3565,3610,3623,3778,3850,3930,3861
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Aarhus,30202,30655,30869,31512,32197,32128,32846,34467,34512,34665
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Herning,7056,7208,7348,7576,7640,7942,7977,7967,7965,7871
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Holstebro,4767,4847,4938,5070,5104,5189,5164,5302,5321,5308
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Ikast-Brande,2905,3007,3104,3233,3272,3360,3383,3456,3412,3471
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Lemvig,1588,1612,1675,1792,1827,1894,1978,1978,1948,2008
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Ringkøbing-Skjern,4292,4445,4535,4690,4853,4934,5034,4923,4939,4987
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Skive,4193,4328,4429,4580,4621,4785,4851,4736,4808,4774
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Struer,1820,1837,1894,1967,2013,2111,2186,2184,2168,2167
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Viborg,7551,7785,7963,8231,8310,8393,8551,8584,8614,8630
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Brønderslev,2805,2955,3028,3169,3203,3272,3363,3430,3475,3437
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Frederikshavn,6041,6279,6410,6632,6759,6822,6890,6778,6763,6696
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Hjørring,5730,6009,6167,6349,6531,6672,6869,6891,7029,6955
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Jammerbugt,2960,3096,3109,3174,3252,3361,3516,3576,3703,3825
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Læsø,193,201,226,235,229,255,261,258,276,289
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Mariagerfjord,3660,3773,3800,3959,4000,4068,4196,4198,4229,4206
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Morsø,1877,1906,1920,2019,2070,2123,2223,2248,2303,2236
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Rebild,1805,1827,1828,1921,1961,1954,2055,2078,2102,2146
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Thisted,3541,3576,3702,3836,3836,4120,4265,4272,4425,4462
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Vesthimmerlands,3145,3194,3307,3426,3496,3652,3707,3709,3748,3732
Families in the group (Number),"200,000 - 299,999 DKK","Single people, total",Aalborg,19276,19468,19639,20003,20184,20524,20977,21805,21777,21985
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",All Denmark,426554,434130,440183,444471,450438,453267,439968,439215,444625,433010
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Copenhagen,49314,49831,50253,49825,49857,49686,46118,47121,48367,47282
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Frederiksberg,8065,8009,7990,8096,7870,7778,7228,7315,7422,7306
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Dragør,863,852,830,850,824,847,801,782,767,753
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Tårnby,3137,3110,3162,3130,3110,3097,2905,2855,2934,2900
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Albertslund,2189,2187,2186,2220,2178,2199,2047,2133,2147,2061
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Ballerup,4044,4047,4008,4023,3991,3994,3839,3766,3934,3798
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Brøndby,3082,3133,3220,3169,3121,3159,2930,2935,3005,3007
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Gentofte,4083,4034,4104,4135,4104,4075,3912,3925,3973,3947
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Gladsaxe,4957,5043,5069,5133,5076,5125,4757,4787,4716,4593
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Glostrup,1967,1997,1964,1999,1943,1997,1862,1875,1941,1844
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Herlev,2294,2341,2302,2305,2316,2294,2240,2175,2198,2134
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Hvidovre,4124,4178,4196,4234,4169,4112,3832,3839,3920,3739
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Høje-Taastrup,3872,3871,3919,3864,3993,3922,3755,3804,4016,4057
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Ishøj,1881,1842,1902,1926,1899,1930,1778,1836,1879,1770
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Lyngby-Taarbæk,3685,3673,3650,3686,3721,3672,3466,3499,3519,3371
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Rødovre,3303,3259,3298,3314,3339,3338,3161,3238,3316,3390
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Vallensbæk,950,925,949,1012,1026,1032,913,948,995,990
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Allerød,1217,1291,1263,1317,1316,1329,1266,1228,1300,1228
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Egedal,2256,2242,2220,2285,2358,2354,2259,2279,2398,2307
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Fredensborg,2668,2746,2752,2785,2706,2746,2611,2557,2579,2472
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Frederikssund,3366,3448,3487,3502,3562,3595,3503,3500,3599,3380
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Furesø,2269,2316,2419,2415,2426,2380,2231,2308,2341,2222
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Gribskov,3168,3167,3282,3263,3320,3275,3255,3118,3160,3121
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Halsnæs,2600,2662,2660,2686,2710,2737,2591,2570,2610,2515
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Helsingør,4882,5084,4978,4987,5071,4993,4741,4797,4925,4919
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Hillerød,3478,3508,3455,3428,3427,3361,3347,3473,3494,3386
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Hørsholm,1502,1511,1440,1452,1468,1460,1479,1433,1420,1444
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Rudersdal,3009,3052,3066,3081,3097,3035,2968,2861,2902,2764
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Bornholm,3542,3629,3711,3809,3861,3958,3929,3884,3824,3614
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Greve,3232,3219,3289,3322,3361,3406,3223,3202,3170,3099
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Køge,4456,4645,4562,4550,4681,4590,4454,4392,4466,4419
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Lejre,1627,1702,1673,1689,1793,1750,1730,1709,1733,1758
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Roskilde,5770,5728,5795,5964,5972,5913,5816,5788,5937,5742
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Solrød,1269,1286,1278,1294,1341,1283,1293,1281,1296,1317
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Faxe,2773,2812,2853,2832,2868,2982,2881,2850,2902,2869
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Guldborgsund,5092,5340,5445,5583,5648,5687,5572,5546,5554,5342
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Holbæk,5248,5337,5357,5501,5499,5549,5436,5474,5519,5388
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Kalundborg,3768,3860,3809,3917,4031,4026,3945,4027,3941,3788
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Lolland,3860,3984,4138,4142,4195,4170,4088,4004,3999,3822
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Næstved,6537,6663,6745,6855,6923,7015,6739,6753,6756,6598
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Odsherred,2879,2987,3056,3198,3214,3137,3056,3067,3088,2994
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Ringsted,2635,2670,2752,2729,2816,2823,2732,2676,2770,2643
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Slagelse,6551,6730,6916,7088,7212,7220,7106,6965,6947,6677
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Sorø,2191,2177,2222,2222,2269,2346,2281,2306,2265,2210
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Stevns,1631,1724,1718,1778,1774,1760,1728,1717,1751,1671
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Vordingborg,3865,3916,4014,4060,4184,4125,4039,4049,4058,3923
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Assens,2866,3024,3112,3159,3305,3379,3346,3281,3169,3044
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Faaborg-Midtfyn,3773,3853,3942,3926,4155,4240,4208,4169,4068,4019
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Kerteminde,1861,1893,1948,1969,2046,2027,2047,1917,1893,1825
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Langeland,1090,1177,1184,1270,1224,1259,1295,1316,1242,1190
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Middelfart,2748,2716,2798,2894,2988,3036,2978,2979,3019,2868
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Nordfyns,2101,2177,2253,2302,2406,2417,2346,2364,2320,2213
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Nyborg,2517,2607,2661,2776,2762,2790,2718,2750,2694,2708
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Odense,15422,15750,16166,16297,16468,16813,16511,16650,16926,16795
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Svendborg,4449,4548,4583,4715,4842,4748,4686,4800,4777,4688
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Ærø,558,513,568,590,587,585,570,574,573,555
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Billund,1792,1804,1816,1860,1868,1945,1893,1890,1854,1830
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Esbjerg,8577,8871,8895,9117,9158,9257,9190,9118,9227,8848
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Fanø,246,255,268,284,288,294,312,297,317,289
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Fredericia,4105,4104,4246,4366,4441,4474,4352,4305,4315,4154
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Haderslev,4246,4339,4459,4479,4557,4622,4662,4596,4542,4471
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Kolding,6449,6608,6757,6991,7090,7210,7059,6831,6970,6881
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Sønderborg,5769,5939,6298,6274,6375,6519,6451,6294,6369,6049
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Tønder,2905,3005,3113,3050,3146,3180,3256,3114,3146,3039
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Varde,3481,3594,3638,3706,3704,3744,3637,3586,3630,3566
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Vejen,3004,3116,3165,3196,3252,3299,3251,3115,3184,3032
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Vejle,7854,8012,8209,8321,8497,8640,8457,8415,8642,8227
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Aabenraa,4457,4635,4783,4739,4945,4954,4914,4760,4811,4633
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Favrskov,2965,2959,3017,3022,2958,2971,2897,2841,2880,2741
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Hedensted,3116,3093,3222,3176,3179,3265,3182,3114,3193,3014
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Horsens,6398,6544,6742,6857,6851,7274,7102,7063,7206,7016
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Norddjurs,3009,3013,3161,3156,3174,3254,3194,3102,3172,3040
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Odder,1547,1597,1645,1704,1645,1708,1635,1646,1631,1643
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Randers,7645,7826,8079,8001,8222,8355,8095,8170,8158,7968
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Samsø,351,339,344,344,336,314,335,330,340,347
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Silkeborg,6157,6325,6351,6397,6613,6652,6670,6455,6590,6410
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Skanderborg,3458,3573,3476,3541,3641,3595,3515,3427,3507,3409
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Syddjurs,3192,3142,3153,3252,3370,3332,3284,3230,3186,3136
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Aarhus,25382,25821,26183,26253,26856,27159,26041,26997,27724,27887
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Herning,6124,6381,6459,6564,6618,6609,6626,6508,6609,6517
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Holstebro,4203,4309,4317,4360,4510,4524,4570,4493,4491,4443
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Ikast-Brande,2843,2893,2937,3004,3127,3136,3170,3015,3091,2906
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Lemvig,1369,1425,1455,1471,1482,1504,1499,1454,1398,1408
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Ringkøbing-Skjern,3781,3935,3963,4030,4061,4229,4154,4105,4101,3909
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Skive,3429,3568,3602,3682,3835,3829,3893,3828,3863,3726
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Struer,1712,1728,1755,1737,1783,1829,1762,1764,1788,1706
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Viborg,6844,6923,7047,7113,7163,7263,7163,7022,7109,6807
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Brønderslev,2526,2586,2619,2686,2740,2827,2800,2709,2674,2525
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Frederikshavn,4832,4922,5000,5093,5311,5420,5259,5188,5206,4977
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Hjørring,4849,4861,5021,5076,5166,5268,5171,5090,5191,4996
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Jammerbugt,2693,2715,2756,2915,2955,2937,2918,2957,2857,2769
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Læsø,146,159,149,165,183,174,175,189,175,188
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Mariagerfjord,2918,3056,3130,3210,3329,3350,3392,3286,3254,3173
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Morsø,1621,1623,1650,1733,1754,1758,1770,1694,1695,1615
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Rebild,1810,1811,1859,1842,1917,2009,1912,1848,1847,1734
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Thisted,3244,3356,3321,3391,3445,3493,3401,3351,3369,3226
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Vesthimmerlands,2824,2916,2972,3016,3131,3060,3082,2985,3043,2940
Families in the group (Number),"300,000 - 399,999 DKK","Families, total",Aalborg,16136,16418,16571,16737,17333,17475,17319,17586,17836,17336
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",All Denmark,165847,168624,169553,167490,166623,159181,153967,143063,134444,114925
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Copenhagen,12667,12782,12706,12243,11654,10922,10403,9457,8913,7633
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Frederiksberg,1902,1898,1822,1816,1741,1612,1507,1403,1334,1153
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Dragør,329,332,311,300,285,296,271,243,207,178
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Tårnby,1086,1092,1063,1011,1003,894,840,756,721,592
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Albertslund,851,823,802,790,747,722,675,638,577,486
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Ballerup,1684,1652,1581,1546,1450,1339,1226,1086,1050,807
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Brøndby,1314,1319,1311,1250,1169,1144,1096,997,889,765
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Gentofte,940,905,860,841,857,784,733,666,694,620
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Gladsaxe,1615,1683,1636,1636,1530,1427,1295,1203,1093,911
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Glostrup,647,628,609,625,592,579,563,510,460,358
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Herlev,857,870,861,831,779,737,653,590,511,443
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Hvidovre,1460,1425,1406,1422,1315,1224,1141,1025,960,770
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Høje-Taastrup,1471,1420,1465,1377,1367,1308,1247,1174,1130,1002
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Ishøj,808,785,791,774,725,691,626,550,546,439
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Lyngby-Taarbæk,974,961,934,909,862,805,760,703,664,516
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Rødovre,1104,1110,1111,1082,1002,947,864,820,765,669
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Vallensbæk,387,385,378,417,404,364,328,308,307,259
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Allerød,438,441,440,459,436,412,389,354,355,280
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Egedal,1009,947,911,913,891,851,783,753,711,587
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Fredensborg,969,963,982,970,904,870,756,674,634,498
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Frederikssund,1299,1330,1334,1317,1335,1286,1244,1159,1127,920
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Furesø,777,771,811,776,744,645,578,525,524,426
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Gribskov,1205,1212,1253,1181,1169,1096,1098,972,941,797
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Halsnæs,1029,1058,1039,1025,1067,1006,956,892,865,712
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Helsingør,1684,1728,1642,1593,1570,1458,1371,1290,1183,977
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Hillerød,1134,1124,1081,1031,1021,937,924,872,816,642
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Hørsholm,427,403,386,393,387,360,347,311,297,249
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Rudersdal,833,857,837,819,783,725,697,593,559,450
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Bornholm,1643,1663,1683,1692,1684,1667,1659,1550,1457,1205
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Greve,1394,1396,1365,1358,1327,1260,1190,1111,1041,889
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Køge,1780,1831,1834,1818,1842,1694,1593,1447,1339,1119
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Lejre,672,701,685,671,711,657,639,588,561,476
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Roskilde,1965,1937,1897,1893,1883,1739,1718,1524,1491,1190
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Solrød,483,508,508,486,501,467,466,428,405,337
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Faxe,1141,1182,1196,1148,1179,1167,1101,959,920,760
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Guldborgsund,2286,2421,2439,2394,2396,2324,2218,2035,1930,1686
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Holbæk,2175,2202,2168,2151,2104,1967,1950,1764,1663,1393
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Kalundborg,1690,1718,1691,1748,1777,1651,1626,1534,1426,1243
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Lolland,1862,1923,1944,1953,1974,1916,1870,1758,1660,1398
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Næstved,2618,2631,2676,2605,2627,2547,2440,2227,2045,1766
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Odsherred,1306,1355,1370,1388,1391,1279,1234,1159,1095,925
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Ringsted,1012,1009,1018,1000,1041,969,911,850,792,654
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Slagelse,2741,2841,2843,2807,2798,2618,2498,2296,2107,1781
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Sorø,883,840,867,834,834,833,775,716,671,565
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Stevns,720,760,728,734,725,696,683,621,592,521
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Vordingborg,1725,1733,1741,1701,1722,1589,1574,1492,1360,1149
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Assens,1365,1407,1487,1507,1540,1502,1514,1414,1257,1060
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Faaborg-Midtfyn,1672,1761,1788,1766,1819,1781,1796,1653,1525,1366
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Kerteminde,883,893,899,928,939,904,902,830,762,656
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Langeland,578,620,609,664,614,600,605,591,549,463
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Middelfart,1218,1200,1239,1262,1275,1200,1164,1082,1038,853
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Nordfyns,1017,1057,1074,1076,1100,1073,1054,997,935,831
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Nyborg,1135,1163,1182,1186,1129,1064,1049,996,897,822
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Odense,6453,6557,6730,6650,6574,6322,6098,5717,5368,4794
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Svendborg,1912,1963,1949,1928,1935,1850,1799,1785,1619,1419
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Ærø,265,227,252,250,246,241,216,200,211,180
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Billund,733,744,789,781,801,793,797,745,666,579
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Esbjerg,3622,3710,3696,3757,3728,3594,3479,3258,3091,2603
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Fanø,81,100,91,105,105,102,83,80,77,66
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Fredericia,1777,1764,1773,1760,1751,1617,1531,1407,1306,1094
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Haderslev,1962,2010,2046,2010,2000,1926,1853,1680,1557,1316
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Kolding,2752,2836,2860,2880,2899,2761,2689,2474,2302,1954
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Sønderborg,2751,2822,2978,2907,2848,2806,2754,2595,2414,2130
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Tønder,1387,1426,1481,1475,1476,1419,1405,1284,1263,1097
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Varde,1552,1560,1586,1613,1570,1508,1477,1363,1291,1126
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Vejen,1334,1396,1399,1399,1419,1397,1362,1219,1186,1002
Families in the group (Number),"300,000 - 399,999 DKK","Couples, total",Vejle,3200,3275,3318,3275,3314,3202,3064,2862,2729,2276
